identifier,file,score
100295,MISSING,0
100364,MISSING,0
100033,MISSING,0
101509,MISSING,0
100309,MISSING,0
100107,MISSING,0
100351,MISSING,0
101639,MISSING,0
101639,MISSING,0
101664,MISSING,0
100291,MISSING,0
100244,MISSING,0
101424,MISSING,0
100092,MISSING,0
100238,MISSING,0
101422,MISSING,0
100258,MISSING,0
100142,MISSING,0
100032,MISSING,0
100032,MISSING,0
100039,MISSING,0
100217,MISSING,0
101598,MISSING,0
101689,MISSING,0
100073,MISSING,0
100096,MISSING,0
100385,MISSING,0
101610,MISSING,0
101561,MISSING,0
100106,MISSING,0
100120,MISSING,0
100271,MISSING,0
100306,MISSING,0
100389,MISSING,0
100164,MISSING,0
101563,MISSING,0
100103,MISSING,0
101489,MISSING,0
100394,MISSING,0
101493,MISSING,0
101670,MISSING,0
101670,MISSING,0
100339,MISSING,0
100190,MISSING,0
100126,MISSING,0
100157,MISSING,0
100172,MISSING,0
101605,MISSING,0
100214,MISSING,0
100122,MISSING,0
100138,MISSING,0
101671,MISSING,0
100348,MISSING,0
100348,MISSING,0
101506,MISSING,0
100176,MISSING,0
100308,MISSING,0
101456,MISSING,0
101654,MISSING,0
101465,MISSING,0
101419,MISSING,0
101478,MISSING,0
101589,MISSING,0
101650,MISSING,0
100095,MISSING,0
101559,MISSING,0
101559,MISSING,0
100090,MISSING,0
100044,MISSING,0
100167,MISSING,0
101645,MISSING,0
101680,MISSING,0
101680,MISSING,0
101562,MISSING,0
101562,MISSING,0
101640,MISSING,0
101640,MISSING,0
101649,MISSING,0
101551,MISSING,0
100239,MISSING,0
101576,MISSING,0
100094,MISSING,0
100406,MISSING,0
100406,MISSING,0
100180,MISSING,0
100184,MISSING,0
100184,MISSING,0
100268,MISSING,0
101599,MISSING,0
100132,MISSING,0
100132,MISSING,0
101502,MISSING,0
100287,MISSING,0
101614,MISSING,0
101492,MISSING,0
100338,MISSING,0
100156,MISSING,0
101468,MISSING,0
101468,MISSING,0
100104,MISSING,0
101668,MISSING,0
100254,MISSING,0
100181,MISSING,0
101527,MISSING,0
100171,MISSING,0
101529,MISSING,0
100014,MISSING,0
100245,MISSING,0
100266,MISSING,0
101634,MISSING,0
101634,MISSING,0
100179,MISSING,0
100212,MISSING,0
101532,MISSING,0
101483,MISSING,0
101483,MISSING,0
100228,MISSING,0
100146,MISSING,0
100378,MISSING,0
100378,MISSING,0
100018,MISSING,0
100023,MISSING,0
101423,MISSING,0
101631,MISSING,0
100273,MISSING,0
101560,MISSING,0
101560,MISSING,0
100085,MISSING,0
100150,MISSING,0
100199,MISSING,0
100310,MISSING,0
100173,MISSING,0
100246,MISSING,0
100362,MISSING,0
101688,MISSING,0
100235,MISSING,0
101556,MISSING,0
101516,MISSING,0
100251,MISSING,0
100312,MISSING,0
100116,MISSING,0
100322,MISSING,0
101482,MISSING,0
101482,MISSING,0
101608,MISSING,0
101608,MISSING,0
101677,MISSING,0
100155,MISSING,0
100305,MISSING,0
101667,MISSING,0
101676,MISSING,0
101646,MISSING,0
101448,MISSING,0
101448,MISSING,0
101434,MISSING,0
100074,MISSING,0
100215,MISSING,0
101547,MISSING,0
100034,MISSING,0
100332,MISSING,0
100045,MISSING,0
101466,MISSING,0
100207,MISSING,0
100422,MISSING,0
100243,MISSING,0
100229,MISSING,0
100041,MISSING,0
100399,MISSING,0
100380,MISSING,0
100093,MISSING,0
100317,MISSING,0
100223,MISSING,0
100221,MISSING,0
101522,MISSING,0
101550,MISSING,0
101550,MISSING,0
101550,MISSING,0
101550,MISSING,0
101628,MISSING,0
101673,MISSING,0
101673,MISSING,0
101546,MISSING,0
100137,MISSING,0
101555,MISSING,0
100382,MISSING,0
100404,MISSING,0
100404,MISSING,0
100088,MISSING,0
100219,MISSING,0
101474,MISSING,0
101629,MISSING,0
101629,MISSING,0
101499,MISSING,0
101644,MISSING,0
100286,MISSING,0
101582,MISSING,0
100182,MISSING,0
100208,MISSING,0
100353,MISSING,0
100270,MISSING,0
101420,MISSING,0
101517,MISSING,0
101602,MISSING,0
101633,MISSING,0
101633,MISSING,0
101657,MISSING,0
100234,MISSING,0
100035,MISSING,0
100163,MISSING,0
100282,MISSING,0
101621,MISSING,0
101621,MISSING,0
100397,MISSING,0
100366,MISSING,0
101476,MISSING,0
101446,MISSING,0
101449,MISSING,0
100405,MISSING,0
100252,MISSING,0
100384,MISSING,0
101542,MISSING,0
101583,MISSING,0
101583,MISSING,0
101625,MISSING,0
101625,MISSING,0
101642,MISSING,0
101675,MISSING,0
101515,MISSING,0
101436,MISSING,0
100165,MISSING,0
100289,MISSING,0
101450,MISSING,0
100324,MISSING,0
100335,MISSING,0
100059,MISSING,0
101596,MISSING,0
101500,MISSING,0
101511,MISSING,0
100202,MISSING,0
100222,MISSING,0
100408,MISSING,0
100130,MISSING,0
100143,MISSING,0
100177,MISSING,0
100198,MISSING,0
100198,MISSING,0
101607,MISSING,0
100105,MISSING,0
100365,MISSING,0
100396,MISSING,0
100396,MISSING,0
101470,MISSING,0
101470,MISSING,0
101574,MISSING,0
101574,MISSING,0
100318,MISSING,0
100170,MISSING,0
100170,MISSING,0
101464,MISSING,0
100354,MISSING,0
100368,MISSING,0
100089,MISSING,0
100127,MISSING,0
100127,MISSING,0
101586,MISSING,0
100112,MISSING,0
100021,MISSING,0
101571,MISSING,0
100128,MISSING,0
101425,MISSING,0
101557,MISSING,0
101647,MISSING,0
101655,MISSING,0
100300,MISSING,0
101504,MISSING,0
100038,MISSING,0
100042,MISSING,0
101472,MISSING,0
100149,MISSING,0
101683,MISSING,0
100119,MISSING,0
100281,MISSING,0
100168,MISSING,0
100140,MISSING,0
100275,MISSING,0
100307,MISSING,0
100135,MISSING,0
100135,MISSING,0
100113,MISSING,0
100175,MISSING,0
100175,MISSING,0
100114,MISSING,0
100114,MISSING,0
100091,MISSING,0
100220,MISSING,0
100129,MISSING,0
100284,MISSING,0
100080,MISSING,0
100377,MISSING,0
100257,MISSING,0
100193,MISSING,0
100323,MISSING,0
100201,MISSING,0
100260,MISSING,0
100206,MISSING,0
100352,MISSING,0
101524,MISSING,0
100253,MISSING,0
100315,MISSING,0
100285,MISSING,0
101679,MISSING,0
101685,MISSING,0
100327,MISSING,0
101565,MISSING,0
100390,MISSING,0
100419,MISSING,0
100419,MISSING,0
100350,MISSING,0
100216,MISSING,0
101480,MISSING,0
101480,MISSING,0
100161,MISSING,0
100115,MISSING,0
100363,MISSING,0
101514,MISSING,0
100169,MISSING,0
100336,MISSING,0
101519,MISSING,0
101519,MISSING,0
101541,MISSING,0
100084,MISSING,0
101669,MISSING,0
100209,MISSING,0
100321,MISSING,0
100321,MISSING,0
101479,MISSING,0
100133,MISSING,0
100343,MISSING,0
100075,MISSING,0
101442,MISSING,0
100121,MISSING,0
101455,MISSING,0
100139,MISSING,0
100139,MISSING,0
101609,MISSING,0
101609,MISSING,0
100298,MISSING,0
100250,MISSING,0
100262,MISSING,0
101507,MISSING,0
101534,MISSING,0
100349,MISSING,0
100232,MISSING,0
100276,MISSING,0
100398,MISSING,0
100191,MISSING,0
100186,MISSING,0
100299,MISSING,0
100299,MISSING,0
101612,MISSING,0
101612,MISSING,0
100256,MISSING,0
101540,MISSING,0
100205,MISSING,0
101545,MISSING,0
100054,MISSING,0
101495,MISSING,0
100046,MISSING,0
100046,MISSING,0
100159,MISSING,0
100077,MISSING,0
100283,MISSING,0
101626,MISSING,0
100147,MISSING,0
101430,MISSING,0
101430,MISSING,0
101643,MISSING,0
101651,MISSING,0
100153,MISSING,0
100109,MISSING,0
101684,MISSING,0
101508,MISSING,0
101508,MISSING,0
101603,MISSING,0
101603,MISSING,0
100029,MISSING,0
100272,MISSING,0
100248,MISSING,0
100123,MISSING,0
101461,MISSING,0
101678,MISSING,0
101678,MISSING,0
100233,MISSING,0
101528,MISSING,0
100194,MISSING,0
100145,MISSING,0
100211,MISSING,0
101641,MISSING,0
101531,MISSING,0
100099,MISSING,0
101623,MISSING,0
100316,MISSING,0
100337,MISSING,0
100337,MISSING,0
100347,MISSING,0
100108,MISSING,0
101543,MISSING,0
100031,MISSING,0
100048,MISSING,0
100301,MISSING,0
101632,MISSING,0
100111,MISSING,0
100203,MISSING,0
101537,MISSING,0
100195,MISSING,0
100183,MISSING,0
100183,MISSING,0
101564,MISSING,0
100288,MISSING,0
100288,MISSING,0
100288,MISSING,0
100395,MISSING,0
100162,MISSING,0
100383,MISSING,0
100083,MISSING,0
100218,MISSING,0
101662,MISSING,0
101662,MISSING,0
100037,MISSING,0
100346,MISSING,0
100178,MISSING,0
100196,MISSING,0
100196,MISSING,0
100174,MISSING,0
100174,MISSING,0
100097,MISSING,0
100148,MISSING,0
101585,MISSING,0
101487,MISSING,0
101454,MISSING,0
101665,MISSING,0
101573,MISSING,0
101573,MISSING,0
101573,MISSING,0
101573,MISSING,0
100418,MISSING,0
100418,MISSING,0
100224,MISSING,0
100065,MISSING,0
100065,MISSING,0
100303,MISSING,0
100303,MISSING,0
101622,MISSING,0
101622,MISSING,0
101593,MISSING,0
100333,MISSING,0
101591,MISSING,0
100280,MISSING,0
100261,MISSING,0
100131,MISSING,0
100151,MISSING,0
101674,MISSING,0
100189,MISSING,0
101435,MISSING,0
100409,MISSING,0
100098,MISSING,0
101663,MISSING,0
100231,MISSING,0
100391,MISSING,0
100391,MISSING,0
100141,MISSING,0
100141,MISSING,0
101510,MISSING,0
100326,MISSING,0
100400,MISSING,0
100400,MISSING,0
100359,MISSING,0
100197,MISSING,0
101475,MISSING,0
100277,MISSING,0
100277,MISSING,0
101512,MISSING,0
100187,MISSING,0
101536,MISSING,0
100027,MISSING,0
100372,MISSING,0
101535,MISSING,0
100226,MISSING,0
100210,MISSING,0
100225,MISSING,0
100086,MISSING,0
101592,MISSING,0
101592,MISSING,0
100144,MISSING,0
101458,MISSING,0
101554,MISSING,0
101601,MISSING,0
100160,MISSING,0
100160,MISSING,0
100160,MISSING,0
100302,MISSING,0
100302,MISSING,0
101595,MISSING,0
101590,MISSING,0
101616,MISSING,0
100374,MISSING,0
101453,MISSING,0
100236,MISSING,0
100236,MISSING,0
100236,MISSING,0
101457,MISSING,0
101467,MISSING,0
100200,MISSING,0
100342,MISSING,0
101600,MISSING,0
101440,MISSING,0
100420,MISSING,0
101452,MISSING,0
100076,MISSING,0
100076,MISSING,0
100118,MISSING,0
101445,MISSING,0
100371,MISSING,0
100192,MISSING,0
100293,MISSING,0
101429,MISSING,0
100101,MISSING,0
101437,MISSING,0
100290,MISSING,0
100087,MISSING,0
100028,MISSING,0
100016,MISSING,0
100024,MISSING,0
100267,MISSING,0
100416,MISSING,0
100259,MISSING,0
101539,MISSING,0
100325,MISSING,0
100387,MISSING,0
100387,MISSING,0
100152,MISSING,0
100393,MISSING,0
101652,MISSING,0
101606,MISSING,0
101606,MISSING,0
101606,MISSING,0
100402,MISSING,0
100241,MISSING,0
100311,MISSING,0
101526,MISSING,0
101459,MISSING,0
100125,MISSING,0
101421,MISSING,0
101549,MISSING,0
100036,MISSING,0
100036,MISSING,0
100036,MISSING,0
100036,MISSING,0
100036,MISSING,0
100036,MISSING,0
100036,MISSING,0
100313,MISSING,0
101690,MISSING,0
100185,MISSING,0
101619,MISSING,0
100166,MISSING,0
100294,MISSING,0
100294,MISSING,0
100110,MISSING,0
100213,MISSING,0
101618,MISSING,0
101587,MISSING,0
100269,MISSING,0
101432,MISSING,0
100230,MISSING,0
101656,MISSING,0
100296,MISSING,0
100278,MISSING,0
100278,MISSING,0
100134,MISSING,0
100240,MISSING,0
100304,MISSING,0
100388,MISSING,0
100314,MISSING,0
100279,MISSING,0
100279,MISSING,0
100358,MISSING,0
101503,MISSING,0
101604,MISSING,0
101620,MISSING,0
100274,MISSING,0
100375,MISSING,0
101426,MISSING,0
101498,MISSING,0
100247,MISSING,0
101577,MISSING,0
100360,MISSING,0
100124,MISSING,0
100154,MISSING,0
100334,MISSING,0
101578,MISSING,0
101624,MISSING,0
101496,MISSING,0
101525,MISSING,0
100188,MISSING,0
100188,MISSING,0
101548,MISSING,0
101572,MISSING,0
101427,MISSING,0
101427,MISSING,0
100367,MISSING,0
100367,MISSING,0
100040,MISSING,0
100040,MISSING,0
100040,MISSING,0
100265,MISSING,0
100265,MISSING,0
101439,MISSING,0
101439,MISSING,0
101462,MISSING,0
101580,MISSING,0
101584,MISSING,0
100204,MISSING,0
101672,MISSING,0
100102,MISSING,0
100136,MISSING,0
100319,MISSING,0
101558,MISSING,0
100242,MISSING,0
100392,MISSING,0
101513,MISSING,0
100158,MISSING,0
101637,MISSING,0
101637,MISSING,0
101613,MISSING,0
100249,MISSING,0
101481,MISSING,0
101579,MISSING,0
No filters applied,MISSING,0
